time,state
0.0,0
21.443,1
22.869,2
23.28,0
24.898,1
28.861,2
29.013,0
35.678000000000004,1
36.51200000000001,2
36.757000000000005,0
37.42,1
43.544000000000004,0
47.757000000000005,1
49.157000000000004,2
49.192,0
50.039,1
50.411,2
50.878,0
60.649,1
62.401,2
62.597,0
65.517,1
68.404,2
68.47699999999999,0
73.54199999999999,1
73.96799999999999,2
74.68799999999999,0
79.25699999999999,1
79.97299999999998,0
84.12699999999998,1
87.37599999999998,2
87.99499999999998,0
94.91999999999997,1
96.23899999999998,0
107.47399999999998,1
110.15199999999997,2
110.41399999999997,0
115.17599999999997,1
115.88699999999997,2
118.93499999999997,0
119.33999999999997,1
121.05899999999997,2
126.25499999999997,0
135.44399999999996,1
139.55099999999996,2
140.14699999999996,0
159.45799999999997,1
160.64399999999998,2
163.32799999999997,0
176.79299999999998,1
177.14299999999997,2
177.45699999999997,0
179.20799999999997,1
179.84399999999997,2
182.33099999999996,0
193.85499999999996,1
193.93899999999996,2
195.14599999999996,0
199.16999999999996,1
203.01699999999997,2
203.61899999999997,0
208.59899999999996,1
209.52399999999997,0
216.64299999999997,1
217.29699999999997,2
217.51999999999998,0
218.65399999999997,1
219.58399999999997,0
220.10799999999998,1
225.30899999999997,2
225.56099999999998,0
240.11299999999997,1
240.90999999999997,2
242.13299999999998,0
245.54899999999998,1
247.19699999999997,2
248.06199999999998,0
249.14899999999997,1
251.60499999999996,2
251.88799999999995,0
252.32699999999994,1
254.84699999999995,2
254.89599999999996,0
255.98899999999995,1
257.62699999999995,2
258.042,0
261.62699999999995,1
265.8539999999999,0
269.30999999999995,1
269.56899999999996,2
270.48699999999997,0
271.837,1
280.21299999999997,0
280.433,1
283.12399999999997,2
284.05199999999996,0
284.515,1
286.719,2
286.81,0
304.301,1
304.83799999999997,2
304.984,0
306.555,1
307.437,2
308.32,0
314.847,1
315.18899999999996,2
316.24699999999996,0
322.21399999999994,1
322.68999999999994,2
323.30499999999995,0
333.477,1
337.51099999999997,2
338.304,0
339.57399999999996,1
343.08699999999993,0
346.80499999999995,1
350.49399999999997,2
351.109,0
354.697,1
355.133,2
357.21099999999996,0
357.56199999999995,1
360.16299999999995,2
361.8419999999999,0
365.9079999999999,1
368.5289999999999,0
370.9349999999999,1
372.95299999999986,2
374.24899999999985,0
383.22599999999983,1
383.70899999999983,2
383.95399999999984,0
384.4859999999998,1
386.84299999999985,0
393.28199999999987,1
394.3249999999999,2
396.8509999999999,0
397.6509999999999,1
397.9589999999999,2
397.9829999999999,0
404.4859999999999,1
405.34999999999985,2
406.06699999999984,0
409.91099999999983,1
410.37199999999984,2
410.3729999999998,0
412.54799999999983,1
414.33299999999986,0
417.99899999999985,1
418.1059999999999,2
419.24599999999987,0
426.02099999999984,1
426.51799999999986,2
426.61999999999983,0
426.7719999999998,1
428.6159999999998,0
431.2069999999998,1
432.50699999999983,2
433.6759999999998,0
444.6289999999998,1
451.50999999999976,0
452.0499999999998,1
455.30599999999976,2
456.18899999999974,0
457.5619999999997,1
464.63099999999974,0
476.42899999999975,1
477.48499999999973,2
477.6079999999997,0
480.33999999999975,1
